low,high,point,lowerr,higherr,down,up
49.336202563724285,50.201147283181015,50.26669040909736,0.14439123070821092,0.04809942115729398,50.0,50.21057476972784,
39.21805858765968,40.358762279355034,40.33693032033554,0.16448877924709662,0.06594181688940658,40.0,40.37168687546536,
29.406636827671047,31.072624170525202,30.808815330319945,0.21084332536812722,0.1281926063312442,30.0,31.097749921366127,
20.010830859071554,22.846584692207365,21.86004820353081,0.21320520957983416,0.16438106701821406,20.0,22.878803381342934,
12.775848537383954,16.862261980588872,14.837945674071113,0.1652064222146976,0.1345145306385247,12.743468078629874,16.888626828594024,
7.367727635499201,12.090209848233021,9.728968741866113,0.14727805936530103,0.13282761062020743,7.338861135863602,12.116244059914582,
3.9500502886907127,8.612559388554468,6.281304838622591,0.10478512177811644,0.09696326698970346,3.929512404822202,8.63156418888445,
1.9917805541249476,6.100815405548611,4.04629797983678,0.07425514020929345,0.08072932541691581,1.977226546643926,6.116638353330326,
0.9483130757043915,4.2685128455447,2.6084129606245465,0.04940050759844756,0.05833096191884438,0.9386305762150958,4.279945714080794,
0.38149599627835173,2.911304475012939,1.6464002356456455,0.028388246446986592,0.04803370665622531,0.37593189997474236,2.9207190815175594,
0.15500736315653618,2.008714260779801,1.0818608119681685,0.017958990670205996,0.03586860251311162,0.1514874009851758,2.015744506872371,
